SERVICE STAFF,GROUNDSWORKPERSON MACHINE ATTENDANT,15,"€40,401"
SERVICE STAFF,SERVICE STAFF,1,"€35,974"
SERVICE STAFF,SERVICE STAFF,2,"€36,736"
SERVICE STAFF,SERVICE STAFF,3,"€39,461"
SERVICE STAFF,SERVICE STAFF,4,"€39,657"
SERVICE STAFF,SERVICE STAFF,5,"€39,836"
SERVICE STAFF,SERVICE STAFF,6,"€39,933"
SERVICE STAFF,SERVICE STAFF,7,"€40,040"
SERVICE STAFF,SERVICE STAFF,8,"€40,040"
SERVICE STAFF,SERVICE STAFF,9,"€40,040"
SERVICE STAFF,SERVICE STAFF,10,"€40,040"
SERVICE STAFF,SERVICE STAFF,11,"€40,113"
SERVICE STAFF,SERVICE STAFF,12,"€40,226"
SERVICE STAFF,SERVICE STAFF,13,"€40,336"
SERVICE STAFF,SERVICE STAFF,14,"€40,451"
SERVICE STAFF,SERVICE STAFF,15,"€40,566"
SERVICE STAFF,SERVICE STAFF SHIFT,1,"€37,129"
SERVICE STAFF,SERVICE STAFF SHIFT,2,"€37,898"
SERVICE STAFF,SERVICE STAFF SHIFT,3,"€40,388"
SERVICE STAFF,SERVICE STAFF SHIFT,4,"€40,578"
SERVICE STAFF,SERVICE STAFF SHIFT,5,"€40,761"
SERVICE STAFF,SERVICE STAFF SHIFT,6,"€40,861"
SERVICE STAFF,SERVICE STAFF SHIFT,7,"€40,973"
SERVICE STAFF,SERVICE STAFF SHIFT,8,"€41,074"
SERVICE STAFF,SERVICE STAFF SHIFT,9,"€41,179"
SERVICE STAFF,SERVICE STAFF SHIFT,10,"€41,284"
SERVICE STAFF,SERVICE STAFF SHIFT,11,"€41,392"
SERVICE STAFF,SERVICE STAFF SHIFT,12,"€41,506"
SERVICE STAFF,SERVICE STAFF SHIFT,13,"€41,613"
SERVICE STAFF,SERVICE STAFF SHIFT,14,"€41,733"
SERVICE STAFF,SERVICE STAFF SHIFT,15,"€41,846"
SERVICE STAFF,PLANT MAINTENANCE AIDE,1,"€40,053"
SERVICE STAFF,PLANT MAINTENANCE AIDE,2,"€43,995"
SERVICE STAFF,GROUNDS FOREPERSON,1,"€49,333"
SERVICE STAFF,GROUNDS FOREPERSON,2,"€50,369"
SERVICE STAFF,GROUNDS FOREPERSON,3,"€51,204"
SERVICE STAFF,GROUNDS FOREPERSON,4,"€52,137"
SERVICE STAFF,GROUNDS FOREPERSON,5,"€53,117"
SERVICE STAFF,GROUNDS FOREPERSON,6,"€54,078"
